Id,Tag
5771,rename method                                     
5772,rename method                                     
5773,extract method                                    
5774,rename method                                     
5775,rename method                                     
5776,pull up method                                    
5777,extract method                                    
5778,rename method                                     
5779,inline method                                     
5780,rename method                                     
5781,extract method                                    
5782,extract method                                    
5783,inline method                                     
5784,rename method                                     
5785,extract method                                    
5786,extract interface                                 
5787,extract method                                    
5788,move class                                        
5789,move method                                       
5790,move attribute                                    
5791,extract method                                    
5792,rename method                                     
5793,rename method                                     
5794,pull up method                                    
5795,extract method                                    
5796,pull up method                                    
5797,move method                                       
5798,pull up attribute                                 
5799,rename method                                     
5800,move method                                       
5801,extract method                                    
5802,rename method                                     
5803,inline method                                     
5804,extract method                                    
5805,rename method                                     
5806,extract method                                    
5807,rename method                                     
5808,extract method                                    
5809,inline method                                     
5810,move method                                       
5811,extract method                                    
5812,move and rename class                             
5813,move method                                       
5814,move attribute                                    
5815,rename method                                     
5816,extract method                                    
5817,extract superclass                                
5818,rename method                                     
5819,pull up method                                    
5820,extract method                                    
5821,inline method                                     
5822,extract method                                    
5823,extract method                                    
5824,extract method                                    
5825,extract method                                    
5826,rename method                                     
5827,extract method                                    
5828,move method                                       
5829,extract method                                    
5830,move method                                       
5831,rename method                                     
5832,extract method                                    
5833,rename method                                     
5834,rename method                                     
5835,rename method                                     
5836,extract method                                    
5837,rename class                                      
5838,inline method                                     
5839,rename class                                      
5840,extract method                                    
5841,inline method                                     
5842,rename method                                     
5843,inline method                                     
5844,move class                                        
5845,move method                                       
5846,extract method                                    
5847,extract method                                    
5848,rename method                                     
5849,rename method                                     
5850,move method                                       
5851,extract method                                    
5852,pull up method                                    
5853,pull up attribute                                 
5854,rename class                                      
5855,move and rename class                             
5856,rename method                                     
5857,move method                                       
5858,extract method                                    
5859,move attribute                                    
5860,push down attribute                               
5861,move attribute                                    
5862,move attribute                                    
5863,extract method                                    
5864,extract method                                    
5865,extract method                                    
5866,inline method                                     
5867,rename method                                     
5868,extract method                                    
5869,move and rename class                             
5870,extract method                                    
5871,rename method                                     
5872,extract method                                    
5873,inline method                                     
5874,move method                                       
5875,extract method                                    
5876,inline method                                     
5877,move attribute                                    
5878,inline method                                     
5879,move and rename class                             
5880,move class                                        
5881,move and rename class                             
5882,extract method                                    
5883,rename class                                      
5884,extract method                                    
5885,rename method                                     
5886,extract method                                    
5887,rename method                                     
5888,push down method                                  
5889,push down attribute                               
5890,rename method                                     
5891,rename class                                      
5892,move method                                       
5893,extract method                                    
5894,move attribute                                    
5895,move method                                       
5896,extract method                                    
5897,move attribute                                    
5898,rename method                                     
5899,extract method                                    
5900,rename method                                     
5901,rename method                                     
5902,rename class                                      
5903,rename method                                     
5904,extract method                                    
5905,rename method                                     
5906,move class                                        
5907,extract interface                                 
5908,extract method                                    
5909,move attribute                                    
5910,extract method                                    
5911,rename class                                      
5912,move class                                        
5913,move method                                       
5914,move attribute                                    
5915,move attribute                                    
5916,extract method                                    
5917,rename class                                      
5918,extract method                                    
5919,extract method                                    
5920,rename method                                     
5921,move method                                       
5922,extract method                                    
5923,inline method                                     
5924,move attribute                                    
5925,rename class                                      
5926,extract interface                                 
5927,rename method                                     
5928,move method                                       
5929,move attribute                                    
5930,extract method                                    
5931,rename class                                      
5932,rename method                                     
5933,extract method                                    
5934,extract method                                    
5935,rename class                                      
5936,move method                                       
5937,inline method                                     
5938,move attribute                                    
5939,move attribute                                    
5940,extract method                                    
5941,extract method                                    
5942,move class                                        
5943,rename method                                     
5944,move method                                       
5945,extract method                                    
5946,move attribute                                    
5947,rename method                                     
5948,move method                                       
5949,extract method                                    
5950,rename method                                     
5951,rename method                                     
5952,rename method                                     
5953,rename method                                     
5954,extract method                                    
5955,rename class                                      
5956,move attribute                                    
5957,rename method                                     
5958,rename method                                     
5959,extract method                                    
5960,rename method                                     
5961,extract method                                    
5962,move method                                       
5963,rename method                                     
5964,inline method                                     
5965,extract method                                    
5966,extract method                                    
5967,rename class                                      
5968,move class                                        
5969,move method                                       
5970,move attribute                                    
5971,extract method                                    
5972,move class                                        
5973,rename class                                      
5974,push down method                                  
5975,move method                                       
5976,extract method                                    
5977,push down attribute                               
5978,move attribute                                    
5979,rename class                                      
5980,rename method                                     
5981,move method                                       
5982,move class                                        
5983,rename method                                     
5984,move method                                       
5985,extract method                                    
5986,rename class                                      
5987,extract method                                    
5988,rename method                                     
5989,extract method                                    
5990,pull up attribute                                 
5991,extract method                                    
5992,extract method                                    
5993,rename method                                     
5994,extract method                                    
5995,extract method                                    
5996,rename method                                     
5997,inline method                                     
5998,move class                                        
5999,rename method                                     
6000,inline method                                     
6001,rename method                                     
6002,inline method                                     
6003,rename method                                     
6004,rename method                                     
6005,move class                                        
6006,move method                                       
6007,extract method                                    
6008,inline method                                     
6009,move attribute                                    
6010,rename method                                     
6011,rename method                                     
6012,extract method                                    
6013,extract method                                    
6014,extract method                                    
6015,rename class                                      
6016,rename method                                     
6017,extract method                                    
6018,extract superclass                                
6019,rename method                                     
6020,rename class                                      
6021,rename method                                     
6022,move method                                       
6023,extract method                                    
6024,rename method                                     
6025,inline method                                     
6026,rename class                                      
6027,extract method                                    
6028,rename method                                     
6029,pull up method                                    
6030,move method                                       
6031,inline method                                     
6032,extract method                                    
6033,extract method                                    
6034,move attribute                                    
6035,rename class                                      
6036,extract method                                    
6037,rename method                                     
6038,move method                                       
6039,rename method                                     
6040,extract method                                    
6041,extract method                                    
6042,extract method                                    
6043,rename method                                     
6044,move class                                        
6045,move and rename class                             
6046,extract interface                                 
6047,rename method                                     
6048,rename class                                      
6049,rename method                                     
6050,rename class                                      
6051,move method                                       
6052,move attribute                                    
6053,extract superclass                                
6054,extract method                                    
6055,extract method                                    
6056,rename method                                     
6057,rename method                                     
6058,move class                                        
6059,move method                                       
6060,extract method                                    
6061,extract method                                    
6062,rename method                                     
6063,rename method                                     
6064,extract method                                    
6065,rename method                                     
6066,move method                                       
6067,move attribute                                    
6068,extract method                                    
6069,rename method                                     
6070,rename method                                     
6071,move method                                       
6072,rename method                                     
6073,inline method                                     
6074,extract method                                    
6075,rename method                                     
6076,extract method                                    
6077,extract method                                    
6078,extract method                                    
6079,extract method                                    
6080,extract method                                    
6081,extract method                                    
6082,rename class                                      
6083,rename method                                     
6084,move attribute                                    
6085,rename method                                     
6086,rename method                                     
6087,extract method                                    
6088,extract method                                    
6089,move class                                        
6090,move and rename class                             
6091,move class                                        
6092,rename method                                     
6093,move method                                       
6094,rename method                                     
6095,move method                                       
6096,rename method                                     
6097,extract method                                    
6098,rename method                                     
6099,move method                                       
6100,move attribute                                    
6101,rename method                                     
6102,extract superclass                                
6103,rename method                                     
6104,extract method                                    
6105,move method                                       
6106,rename method                                     
6107,rename method                                     
6108,extract method                                    
6109,move method                                       
6110,extract method                                    
6111,move class                                        
6112,move method                                       
6113,inline method                                     
6114,rename method                                     
6115,rename method                                     
6116,extract method                                    
6117,inline method                                     
6118,inline method                                     
6119,rename class                                      
6120,rename method                                     
6121,move method                                       
6122,extract method                                    
6123,rename method                                     
6124,pull up method                                    
6125,extract method                                    
6126,pull up attribute                                 
6127,extract method                                    
6128,extract method                                    
6129,extract method                                    
6130,extract method                                    
6131,rename method                                     
6132,rename method                                     
6133,inline method                                     
6134,extract interface                                 
6135,rename method                                     
6136,extract method                                    
6137,inline method                                     
6138,move method                                       
6139,inline method                                     
6140,rename class                                      
6141,move method                                       
6142,move attribute                                    
6143,extract method                                    
6144,extract method                                    
6145,rename class                                      
6146,extract method                                    
6147,rename class                                      
6148,extract superclass                                
6149,rename method                                     
6150,extract method                                    
6151,rename class                                      
6152,rename method                                     
6153,extract method                                    
6154,rename method                                     
6155,inline method                                     
6156,pull up method                                    
6157,extract method                                    
6158,rename class                                      
6159,extract method                                    
6160,rename method                                     
6161,extract method                                    
6162,extract method                                    
6163,rename method                                     
6164,move and rename class                             
6165,move method                                       
6166,extract method                                    
6167,move class                                        
6168,extract method                                    
6169,extract method                                    
6170,inline method                                     
6171,rename class                                      
6172,extract interface                                 
6173,extract method                                    
6174,extract method                                    
6175,extract method                                    
6176,extract method                                    
6177,move class                                        
6178,rename method                                     
6179,extract method                                    
6180,extract method                                    
6181,extract method                                    
6182,move method                                       
6183,move and rename class                             
6184,move attribute                                    
6185,move method                                       
6186,move method                                       
6187,extract method                                    
6188,move method                                       
6189,move attribute                                    
6190,extract method                                    
6191,move method                                       
6192,extract method                                    
6193,rename method                                     
6194,extract method                                    
6195,move method                                       
6196,pull up method                                    
6197,move method                                       
6198,pull up attribute                                 
6199,extract method                                    
6200,move attribute                                    
6201,rename method                                     
6202,extract method                                    
6203,inline method                                     
6204,extract method                                    
6205,move method                                       
6206,move and rename class                             
6207,rename method                                     
6208,extract method                                    
6209,move class                                        
